current;S;L(cat);N;L (mm);W (mm);A (mm);H (mm);H(>5mm);category;PT;
Center North Atlantic Gyre;27;0.5mm;5449;1,715;1,403;1,678;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5450;4,426;1,219;3,719;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5451;1,918;1,092;1,493;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5452;1,27;0,907;0,766;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5453;1,534;1,157;1,209;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5454;1,447;1,055;0,991;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5455;1,238;0,975;0,819;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5456;1,676;1,3;1,315;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5457;1,323;1,016;0,859;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5458;1,44;0,975;0,846;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5459;1,751;0,909;0,984;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5460;1,932;1,527;1,744;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5461;1,403;1,163;1,176;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5462;1,676;1,177;1,222;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5463;1,389;0,894;0,839;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5464;1,494;1,149;1,222;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5465;1,238;0,976;0,793;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5466;2,16;1,126;1,381;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5467;1,967;1,189;1,348;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5468;2,662;0,85;1,427;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5469;2,683;0,617;1,064;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5470;2,344;1,544;2,616;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5471;1,527;1,138;1,156;0,009;;film;;
Center North Atlantic Gyre;27;0.5mm;5472;2,072;1,463;2,279;0,009;;film;;
Center North Atlantic Gyre;27;5mm;5473;45,228;0,83;46,095;0,83;0,25;line;PE;
Center North Atlantic Gyre;27;5mm;5474;12,803;0,83;7,112;0,83;0,25;line;PP;
Center North Atlantic Gyre;27;5mm;5475;42,528;0,83;46,467;0,83;0,25;line;PP;
Center North Atlantic Gyre;27;5mm;5476;10,472;0,83;6,728;0,83;0,25;line;PE;
Center North Atlantic Gyre;27;5mm;5477;6,6;0,83;6,266;0,83;0,25;line;PE;
Center North Atlantic Gyre;27;5mm;5478;28,382;0,83;17,799;0,83;0,25;line;PE;
Center North Atlantic Gyre;27;5mm;5479;17,102;0,83;13,337;0,83;0,25;line;PE;
Center North Atlantic Gyre;27;5mm;5480;12,937;0,83;13,686;0,83;0,25;line;PE;
Center North Atlantic Gyre;27;5mm;5481;20,371;0,83;11,254;0,83;0,25;line;PP;
Center North Atlantic Gyre;27;5mm;5482;9,399;0,83;7,811;0,83;0,25;line;undetermined;
Center North Atlantic Gyre;27;5mm;5483;6,493;0,83;4,053;0,83;0,25;line;*PP+PE;
Center North Atlantic Gyre;27;5mm;5484;9,387;0,83;7,953;0,83;0,25;line;PE;
Center North Atlantic Gyre;27;5mm;5485;8,37;0,83;5,882;0,83;0,25;line;PE;
Center North Atlantic Gyre;27;line;5486;4,08;0,83;3,012;0,83;0,25;line;PE;
Center North Atlantic Gyre;27;5mm;5487;6,65;0,83;4,633;0,83;0,25;line;PP;
Center North Atlantic Gyre;27;5mm;5488;11,318;0,83;5,621;0,83;0,25;line;PP;
Center North Atlantic Gyre;27;5mm;5489;13,008;0,83;6,982;0,83;0,25;line;PE;
Center North Atlantic Gyre;28;5mm;5490;17;14,5;na;12,368;7;fragment;PE;
Center North Atlantic Gyre;28;5mm;5491;5;3;na;1,8;1,5;fragment;PE;
Center North Atlantic Gyre;28;5mm;5492;11;7,5;na;5,114;2,5;fragment;PE;
Center North Atlantic Gyre;28;5mm;5493;4,5;3,5;na;2,722;1,5;fragment;PE;
Center North Atlantic Gyre;28;5mm;5494;6,5;5,5;na;4,654;2,5;fragment;PE;
Center North Atlantic Gyre;28;5mm;5495;7,5;5;na;3,333;1;fragment;PE;
Center North Atlantic Gyre;28;5mm;5496;10;7,5;na;5,625;1,3;fragment;PE;
Center North Atlantic Gyre;28;5mm;5497;14;8;na;4,571;1;fragment;PE;
Center North Atlantic Gyre;28;5mm;5498;10;8;na;6,4;1,2;fragment;PE;
Center North Atlantic Gyre;28;5mm;5499;5,5;5;na;4,545;2;fragment;PE;
Center North Atlantic Gyre;28;5mm;5500;5;5;na;5;1;fragment;PE;
Center North Atlantic Gyre;28;5mm;5501;5,5;5,5;na;5,5;0,5;fragment;PE;
Center North Atlantic Gyre;28;5mm;5502;5,5;4;na;2,909;1;fragment;PE;
Center North Atlantic Gyre;28;5mm;5503;6;5;na;4,167;1,5;fragment;PE;
Center North Atlantic Gyre;28;5mm;5504;6;5,5;na;5,042;2;fragment;PE;
Center North Atlantic Gyre;28;5mm;5505;8;5;na;3,125;1,5;fragment;PE;
Center North Atlantic Gyre;28;5mm;5506;7;3,5;na;1,75;0,7;fragment;PE;
Center North Atlantic Gyre;28;5mm;5507;16;9,5;na;5,641;2;fragment;PE;
Center North Atlantic Gyre;28;5mm;5508;5;4,5;na;4,05;1,2;fragment;PE;
Center North Atlantic Gyre;28;5mm;5509;7;6;na;5,143;3;fragment;PE;
Center North Atlantic Gyre;28;5mm;5510;6,5;6;na;5,538;1,3;fragment;PE;
Center North Atlantic Gyre;28;5mm;5511;6;3;na;1,5;0,7;fragment;PE;
Center North Atlantic Gyre;28;5mm;5512;8;6,5;na;5,281;1;fragment;PE;
Center North Atlantic Gyre;28;5mm;5513;7,5;5;na;3,333;1;fragment;PE;
Center North Atlantic Gyre;28;5mm;5514;6,5;5,5;na;4,654;1;fragment;PE;
Center North Atlantic Gyre;28;5mm;5515;6,5;5,5;na;4,654;1;fragment;PE;
Center North Atlantic Gyre;28;5mm;5516;5;4;na;3,2;1,3;fragment;PE;
Center North Atlantic Gyre;28;5mm;5517;4,5;4;na;3,556;1,2;fragment;PE;
Center North Atlantic Gyre;28;5mm;5518;7;5,5;na;4,321;1,3;fragment;PE;
Center North Atlantic Gyre;28;5mm;5519;7;5,5;na;4,321;2;fragment;PE;
Center North Atlantic Gyre;28;5mm;5520;10;6;na;3,6;2;fragment;PE;
Center North Atlantic Gyre;28;5mm;5521;9;6,5;na;4,694;1,5;fragment;PP;
Center North Atlantic Gyre;28;5mm;5522;6,5;3,5;na;1,885;1;fragment;PP;
Center North Atlantic Gyre;28;5mm;5523;5;3,5;na;2,45;1;fragment;PP;
Center North Atlantic Gyre;28;5mm;5524;8;3,5;na;1,531;0,5;fragment;PP;
Center North Atlantic Gyre;28;5mm;5525;8;5;na;3,125;0,7;fragment;NIR;
Center North Atlantic Gyre;28;5mm;5526;10,5;8,5;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;28;5mm;5527;8;4;na;0,009;0,009;film;PE;
Center North Atlantic Gyre;28;2mm (FS);5528;6,383;4,593;17331;0,0086;;film;PE;
Center North Atlantic Gyre;28;2mm (FS);5529;4,379;3,97;12947;3,176;;pellet;PE;
Center North Atlantic Gyre;28;2mm (FS);5530;4,428;3,32;11556;2,656;;pellet;PE;
Center North Atlantic Gyre;28;2mm (FS);5531;5,385;3,887;14639;2,805713835;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5532;5,508;4,198;16367;3,199564996;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5533;4,943;3,493;11669;2,468348978;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5534;4,679;3,231;12538;2,231109425;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5535;4,782;3,975;13722;3,304187578;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5536;4,112;3,074;8846;2,298024319;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5537;4,338;2,532;8077;1,477875519;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5538;4,871;3,077;11367;1,943734141;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5539;4,095;2,822;8556;1,944733578;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5540;3,807;2,645;7479;1,837674022;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5541;5,674;4,154;17450;3,041190694;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5542;4,89;3,614;10675;2,670960327;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5543;3,863;3,043;8207;2,39706161;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5544;3,388;2,471;5669;1,802196281;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5545;4,16;3,655;10260;3,211304087;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5546;3,654;2,615;11077;1,871435413;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5547;4,673;3,025;7580;1,95819067;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5548;3,743;2,538;7828;1,720930804;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5549;5,416;3,283;11503;1,990045975;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5550;3,926;2,462;7775;1,543923586;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5551;6,02;3,608;12450;2,162402658;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5552;3,616;3,231;8639;2,886991427;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5553;3,245;2,642;13266;2,15105208;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5554;5,799;2,923;5793;1,473345232;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5555;3,202;2,385;6414;1,776460025;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5556;3,499;2,643;7254;1,996412975;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5557;3,414;2,603;6024;1,984654071;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5558;4,544;2,615;9130;1,504891065;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5559;4,889;2,692;10260;1,482279403;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5560;4,094;2,538;7118;1,573386419;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5561;4,112;2,538;12083;1,566499027;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5562;4,697;3,832;7982;3,126298488;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5563;4,083;3,077;9402;2,318865785;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5564;4,58;3,303;12130;2,382054367;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5565;4,574;3,385;10870;2,505077613;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5566;4,163;3,135;10373;2,360851549;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5567;5,061;2,902;11237;1,664019759;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5568;3,132;2,644;5911;2,23203576;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5569;3,628;2,692;7533;1,997481808;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5570;3,371;2,716;6337;2,188269356;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5571;3,462;2,769;7077;2,214720104;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5572;6,061;4,372;17166;3,153668372;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5573;5,287;3,991;16763;3,012687914;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5574;4,803;3,259;9669;2,211343119;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5575;5,186;3,504;12704;2,367531045;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5576;5,114;2,803;10627;1,536333399;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5577;4,745;3,38;11568;2,407671233;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5578;4,031;2,804;7911;1,95048772;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5579;4,692;3,037;9213;1,965764919;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5580;3,908;2,846;8639;2,072598772;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5581;4,314;3,145;9095;2,292773528;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5582;3,557;2,589;7124;1,884430981;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5583;4,844;3,361;12207;2,332023328;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5584;4,557;3,686;12107;2,981478165;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5585;4,123;3,704;10598;3,327580888;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5586;4,557;2,589;8651;1,470906517;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5587;3,031;2,431;5598;1,949772682;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5588;3,655;2,385;6858;1,55628591;;fragment;PE;
Center North Atlantic Gyre;28;2mm (FS);5589;13,065;3417;3,31;893676,9231;;fragment;PP;
Center North Atlantic Gyre;28;2mm (FS);5590;4,734;2374;2,231;1190510,351;;fragment;PP;
Center North Atlantic Gyre;28;2mm (FS);5591;4,669;2487;2,38;1324730,992;;fragment;PP;
Center North Atlantic Gyre;28;2mm (FS);5592;4,887;3,403;9,207;0,009;;film;PE;
Center North Atlantic Gyre;28;1mm (FS);5593;3,36;1,462;3,604;0,0086;;film;PE;
Center North Atlantic Gyre;28;1mm (FS);5594;6,867;2,618;8,757;0,0086;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5595;3,8;2,825;6,414;2,100164474;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5596;3,556;1,676;3,757;0,789925759;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5597;3,44;1,409;3,633;0,57711657;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5598;4,457;2,389;6,633;1,280529729;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5599;3,847;2,308;6,811;1,38468001;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5600;2,896;2,031;3,953;1,424364986;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5601;3,4;2,615;6,195;2,011242647;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5602;4,062;1,517;4,686;0,566540867;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5603;4,233;2,169;6,402;1,111401134;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5604;1,941;1,615;2,325;1,34375322;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5605;3,998;1,889;4,166;0,892526513;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5606;2,36;1,795;2,976;1,365264831;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5607;2,912;2;4,491;1,373626374;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5608;2,837;1,879;3,592;1,244498061;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5609;2,652;1,692;2,923;1,079511312;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5610;2,187;1,849;2,876;1,563237769;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5611;2,458;1,51;2,42;0,927624085;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5612;3,206;2,333;5,373;1,697719588;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5613;2,143;1,769;2,97;1,460271115;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5614;3,606;2,452;5,136;1,667305602;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5615;2,54;1,959;3,385;1,510898031;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5616;4,059;2,406;5,864;1,426172949;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5617;2,204;1,48;2,42;0,993829401;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5618;2,626;2,077;3,947;1,642775704;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5619;2,477;1,769;2,598;1,26336738;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5620;3,105;1,922;4,071;1,189721095;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5621;2,355;2;3,592;1,6985138;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5622;2,537;1,873;3,491;1,382786362;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5623;1,903;1,504;1,994;1,188657909;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5624;4,256;2,064;5,74;1,000962406;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5625;2,603;2,064;3,87;1,636610065;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5626;3,93;2,768;7,58;1,949573537;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5627;1,878;1,308;1,769;0,911003195;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5628;3,354;2,284;5,521;1,555353608;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5629;3,431;2,692;6,036;2,112172544;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5630;3,201;2,121;4,444;1,405386129;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5631;2,887;2,037;4,047;1,437259785;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5632;1,635;1,293;1,408;1,022537615;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5633;4,016;2,508;6,751;1,566250996;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5634;2,472;1,846;3,308;1,37852589;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5635;1,928;1,442;1,834;1,078508299;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5636;2,88;2,077;3,911;1,497892014;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5637;3,546;1,622;4,112;0,741930062;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5638;1,972;1,64;2,284;1,363894523;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5639;2,512;1,577;2,651;0,990019506;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5640;1,886;1,504;1,757;1,199372216;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5641;2,032;1,283;1,905;0,810083169;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5642;2,719;2,119;4,355;1,651401618;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5643;2,485;1,387;2,231;0,774152515;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5644;5,127;2,3;8,953;1,031792471;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5645;3,329;2,219;5,219;1,479111144;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5646;3,089;2,537;5,704;2,083641632;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5647;3,515;1,411;3,657;0,566407112;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5648;1,861;1,615;2,059;1,401518001;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5649;2,774;1,974;3,728;1,404713771;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5650;3,054;2,276;5,142;1,696193844;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5651;2,34;1,651;2,615;1,164872222;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5652;4,739;2,41;7,598;1,225596117;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5653;2,463;1,986;3,278;1,601378806;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5654;2,629;2,154;4,059;1,764821605;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5655;3,476;2,343;5,834;1,579300633;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5656;3,722;2,538;6,095;1,730640516;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5657;4,422;2,067;6,29;0,966189281;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5658;2,048;1,385;1,929;0,936633301;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5659;3,222;2,275;5,787;1,60633923;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5660;7,74;4,369;13,337;2,466170672;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5661;4,925;2,474;8,047;1,242776853;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5662;3,017;1,993;4,118;1,31655585;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5663;3,832;2,23;5,982;1,297729645;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5664;3,44;2,213;5,136;1,423653779;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5665;2,691;2,311;4,503;1,984660349;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5666;4,265;2,444;8,059;1,400500821;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS);5667;5,322;1,692;7,373;0,538;;fragment;PP;
Center North Atlantic Gyre;28;1mm (FS);5668;6,235;2,452;12,03;0,964;;fragment;PP;
Center North Atlantic Gyre;28;1mm (FS);5669;3,4;2,985;6,42;2,621;;fragment;PP;
Center North Atlantic Gyre;28;1mm (FS);5670;2,687;1,846;3,657;1,268;;fragment;PP;
Center North Atlantic Gyre;28;1mm (FS);5671;2,762;1,26;2,692;0,575;;fragment;PP;
Center North Atlantic Gyre;28;1mm (FS);5672;2,512;1,923;3,479;1,472;;fragment;PP;
Center North Atlantic Gyre;28;1mm (FS);5673;2,272;1,769;2,822;1,377;;fragment;PP;
Center North Atlantic Gyre;28;1mm (FS);5674;2,679;2,284;4,367;1,947;;fragment;PP;
Center North Atlantic Gyre;28;1mm (FS);5675;6,767;2,199;11,84;0,715;;fragment;PP;
Center North Atlantic Gyre;28;1mm (FS);5676;11,199;2,322;19,414;0,481;;fragment;PP;
Center North Atlantic Gyre;28;1mm (FS);5677;6,683;1,59;5,71;0,378;;fragment;PP;
Center North Atlantic Gyre;28;1mm (FS rest);5678;1,56;1,373;2,176;1,208;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS rest);5679;1,985;1,585;2,444;1,266;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS rest);5680;2,032;1,479;1,54;1,076;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS rest);5681;2,555;1,712;1,685;1,147;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS rest);5682;2,228;1,587;2,723;1,13;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS rest);5683;1,771;1,268;1,663;0,908;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS rest);5684;1,67;1,479;2,053;1,31;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS rest);5685;2,258;1,796;2,801;1,429;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS rest);5686;2,716;1,796;3,236;1,188;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS rest);5687;2,345;1,69;2,645;1,218;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS rest);5688;2,238;1,537;2,221;1,056;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS rest);5689;3,021;1,652;3,615;0,903;;fragment;PE;
Center North Atlantic Gyre;28;1mm (FS rest);5690;2,439;1,508;2,366;0,009;;film;PE;
Center North Atlantic Gyre;28;0.5mm;5691;1,08;0,779;0,569;0,562;;fragment;*PEP;
Center North Atlantic Gyre;28;0.5mm;5692;1,145;0,9;0,711;0,707;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5693;1,197;0,857;0,691;0,614;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5694;3,063;0,83;1,442;0,83;;line;PE;
Center North Atlantic Gyre;28;0.5mm;5695;2,752;1,092;2,015;0,433;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5696;1,038;0,861;0,61;0,714;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5697;1,027;0,871;0,61;0,739;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5698;1,304;1,171;1,091;1,052;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5699;1,883;1,166;1,654;0,722;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5700;3,722;0,83;2,015;0,83;;line;*PEP;
Center North Atlantic Gyre;28;0.5mm;5701;1,65;1,108;1,199;0,009;;film;PE;
Center North Atlantic Gyre;28;0.5mm;5702;2,535;1,084;1,802;0,009;;film;PE;
Center North Atlantic Gyre;28;0.5mm;5703;2,052;1,114;1,812;0,605;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5704;1,563;1,219;1,166;0,951;;fragment;PP;
Center North Atlantic Gyre;28;0.5mm;5705;1,579;1,388;1,476;1,22;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5706;2,578;1,387;2,17;0,746;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5707;1,285;0,871;0,852;0,59;;fragment;PP;
Center North Atlantic Gyre;28;0.5mm;5708;2,3;1,335;2,254;0,775;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5709;1,436;1,025;1,054;0,009;;film;PE;
Center North Atlantic Gyre;28;0.5mm;5710;1,613;1,203;1,408;0,897;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5711;1,324;1,183;1,004;1,057;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5712;1,579;0,795;0,771;0,009;;film;PE;
Center North Atlantic Gyre;28;0.5mm;5713;1,88;1,51;1,883;1,213;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5714;1,579;1,056;1,125;0,706;;fragment;PP;
Center North Atlantic Gyre;28;0.5mm;5715;1,285;0,624;0,532;0,303;;fragment;*PEP;
Center North Atlantic Gyre;28;0.5mm;5716;2,129;1,281;1,86;0,771;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5717;1,674;1,299;1,56;1,008;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5718;1,175;0,929;0,805;0,735;;fragment;PP;
Center North Atlantic Gyre;28;0.5mm;5719;0,966;0,779;0,539;0,628;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5720;1,929;1,071;1,395;0,009;;film;PE;
Center North Atlantic Gyre;28;0.5mm;5721;1,741;1,423;1,87;1,163;;fragment;*PP;
Center North Atlantic Gyre;28;0.5mm;5722;1,851;1,308;1,732;0,924;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5723;1,066;0,75;0,495;0,009;;film;PE;
Center North Atlantic Gyre;28;0.5mm;5724;1,366;1,184;1,139;1,026;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5725;2,628;1,386;2,213;0,009;;film;PE;
Center North Atlantic Gyre;28;0.5mm;5726;2,218;1,376;2,183;0,009;;film;PE;
Center North Atlantic Gyre;28;0.5mm;5727;3,231;1,222;3,14;0,462;;fragment;*PP;
Center North Atlantic Gyre;28;0.5mm;5728;0,734;0,634;0,273;0,548;;fragment;PE;
Center North Atlantic Gyre;28;0.5mm;5729;1,507;0,987;0,926;0,009;;film;PE;
Center North Atlantic Gyre;28;0.5mm;5730;1,594;1,214;1,388;0,925;;fragment;PP ;
