current;S;L(cat);N;L (mm);W (mm);A (mm);H (mm);H(>5mm);category;PT;
Center North Atlantic Gyre;22;1mm (FS);254;2,215;1,441;2,178;0,937463205;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);255;2,481;1,617;2,385;1,053885127;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);256;2,415;1,917;3,112;1,521693168;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);257;2,243;1,523;2,29;1,034119037;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);258;1,708;1,191;1,249;0,830492389;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);259;4,347;1,723;4,024;0,682937428;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);260;3,865;2,261;6,87;1,322670375;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);261;2,262;1,514;2,438;1,013349248;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);262;2,453;1,922;3,314;1,505945373;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);263;1,646;1,185;1,154;0,853113609;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);264;2,787;1,477;3,284;0,782751704;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);265;3,097;1,702;3,817;0,935358088;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);266;4,885;2,098;6,799;0,901044831;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);267;2,445;1,786;2,787;1,304620041;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);268;3,246;2,384;5,497;1,750910659;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);269;3,016;2,057;3,959;1,402934019;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);270;2,064;1,61;2,166;1,255862403;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);271;4,016;2,219;6,775;1,226085906;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);272;3,246;2,615;5,651;2,106662046;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);273;2,287;1,974;2,852;1,703837341;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);274;1,941;1,338;1,799;0,922330757;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);275;2,929;2,008;4,361;1,376600888;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);276;2,166;1,308;2,148;0,789872576;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);277;1,664;1,48;1,74;1,316346154;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);278;3,772;2,424;5,793;1,557734889;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);279;2,355;1,752;2,805;1,303398726;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);280;3,603;2,333;6,343;1,510654732;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);281;2,071;1,577;2,29;1,200834862;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);282;2,453;1,872;2,899;1,428611496;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);283;2,8;2,077;3,87;1,540688929;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);284;2,562;1,923;3,521;1,443375878;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);285;2,557;1,469;2,692;0,843942511;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);286;3,462;2,462;6,414;1,750850376;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);287;2,137;1,769;2,562;1,464371081;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);288;2,557;1,913;3,308;1,431196324;;fragment;PE;
Center North Atlantic Gyre;22;1mm (FS);289;2,433;2,019;3,497;1,675446363;;fragment;PE;
